,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
0,"""603190""",N亚通,41.89,44.0,12.8,25672,107368398.0,23.99,41.89,34.91,34.91,29.09,"""-""",8.56,33.34,2.63
1,"""832149""",N利尔达,6.98,39.6,1.98,290851,208265047.53,37.0,8.35,6.5,6.5,5.0,36.73,26.3,23.37,3.61
2,"""300314""",戴维医疗,17.5,20.03,2.92,188008,315384096.74,16.53,17.5,15.09,15.09,14.58,6.46,9.93,49.74,4.86
3,"""688466""",金科环境,22.74,20.0,3.79,78421,171758457.0,18.52,22.74,19.23,19.23,18.95,6.19,17.0,28.7,2.16
4,"""301211""",亨迪药业,33.69,16.78,4.84,347868,1088681681.43,21.73,34.33,28.06,28.94,28.85,5.83,59.75,77.2,3.63
5,"""301301""",川宁生物,10.36,14.6,1.32,927424,913687341.06,15.15,10.39,9.02,9.02,9.04,3.93,44.33,51.98,3.76
6,"""300922""",天秦装备,17.05,13.67,2.05,170364,283421959.6,20.47,17.99,14.92,15.03,15.0,4.45,19.87,85.89,3.1
7,"""832735""",德源药业,32.7,13.27,3.83,20257,63480773.27,18.01,33.6,28.4,28.46,28.87,1.97,4.51,22.8,2.79
8,"""300039""",上海凯宝,9.03,13.02,1.04,2032532,1749389537.32,19.02,9.43,7.91,7.99,7.99,2.3,22.18,59.72,2.56
9,"""300816""",艾可蓝,36.22,11.45,3.72,54145,191617770.91,13.66,37.29,32.85,33.01,32.5,1.69,7.55,115.38,3.5
10,"""300459""",汤姆猫,4.84,10.25,0.45,7813671,3612364138.45,14.35,4.96,4.33,4.42,4.39,2.27,26.04,31.88,4.43
11,"""603518""",锦泓集团,8.75,10.06,0.8,241482,205114037.0,9.81,8.75,7.97,7.97,7.95,1.59,6.96,31.75,0.99
12,"""600691""",阳煤化工,3.61,10.06,0.33,467602,164490224.0,10.06,3.61,3.28,3.28,3.28,6.03,1.97,33.58,1.39
13,"""000520""",长航凤凰,3.61,10.06,0.33,481187,171277766.12,10.06,3.61,3.28,3.28,3.28,4.42,4.75,82.02,6.63
14,"""002877""",智能自控,12.16,10.05,1.11,549507,630927063.26,11.13,12.16,10.93,11.09,11.05,0.92,26.36,63.07,4.95
15,"""000599""",青岛双星,5.04,10.04,0.46,415630,205492131.97,9.39,5.04,4.61,4.62,4.58,0.98,5.09,-6.73,1.6
16,"""600475""",华光环能,11.3,10.03,1.03,384659,426775108.0,9.93,11.3,10.28,10.28,10.27,1.51,4.15,16.07,1.43
17,"""001260""",坤泰股份,22.61,10.02,2.06,2206,4988353.86,0.0,22.61,22.61,22.61,20.55,0.23,0.77,42.06,3.4
18,"""002425""",凯撒文化,6.48,10.02,0.59,1871961,1199640138.96,7.81,6.48,6.02,6.48,5.89,5.43,19.58,-61.89,1.26
19,"""002686""",亿利达,7.8,10.01,0.71,336332,255913528.78,10.01,7.8,7.09,7.09,7.09,0.92,8.59,61.19,2.74
20,"""600501""",航天晨光,18.02,10.01,1.64,415226,714490544.0,11.9,18.02,16.07,16.3,16.38,1.12,9.86,133.07,3.49
21,"""601606""",长城军工,13.08,10.01,1.19,304659,383150868.0,9.92,13.08,11.9,11.92,11.89,2.26,4.21,-449.61,3.77
22,"""000756""",新华制药,29.58,10.0,2.69,901923,2570728737.35,12.57,29.58,26.2,26.91,26.89,4.37,20.47,50.95,4.99
23,"""603868""",飞科电器,81.27,10.0,7.39,26332,208499892.0,11.19,81.27,73.0,73.17,73.88,1.05,0.6,35.78,10.57
24,"""605136""",丽人丽妆,14.63,10.0,1.33,283703,395326732.0,10.68,14.63,13.21,13.23,13.3,3.98,14.47,-113.56,2.26
25,"""603307""",扬州金泉,49.17,10.0,4.47,4207,20684295.0,0.0,49.17,49.17,49.17,44.7,0.56,2.51,11.76,2.99
26,"""600613""",神奇制药,9.35,10.0,0.85,650971,585723944.0,11.18,9.35,8.4,8.49,8.5,4.48,13.58,67.55,2.14
27,"""600410""",华胜天成,6.93,10.0,0.63,1424858,933252908.0,11.43,6.93,6.21,6.31,6.3,2.27,12.99,-19.9,1.67
28,"""001259""",利仁科技,31.68,10.0,2.88,36058,111659755.12,8.78,31.68,29.15,29.46,28.8,2.75,19.51,42.42,3.2
29,"""002878""",元隆雅图,19.48,9.99,1.77,208304,393099088.06,11.29,19.48,17.48,17.99,17.71,1.74,10.77,18.43,4.26
30,"""001339""",智微智能,34.89,9.99,3.17,456789,1529707910.62,8.23,34.89,32.28,32.65,31.72,4.47,73.97,64.89,4.71
31,"""002970""",锐明技术,31.92,9.99,2.9,45513,145278708.96,0.0,31.92,31.92,31.92,29.02,1.1,4.22,-48.96,3.95
32,"""002728""",特一药业,25.65,9.99,2.33,513327,1266925525.3,11.49,25.65,22.97,24.0,23.32,2.42,32.12,45.1,5.06
33,"""603687""",大胜达,11.13,9.98,1.01,453639,495777278.0,8.89,11.13,10.23,10.3,10.12,1.36,10.81,46.31,2.42
34,"""002719""",麦趣尔,12.14,9.96,1.1,178540,213072717.62,9.24,12.14,11.12,11.14,11.04,0.9,11.03,-5.02,3.57
35,"""300069""",金利华电,15.58,9.56,1.36,68986,108147377.73,22.08,17.06,13.92,13.92,14.22,5.8,5.9,1241.06,6.92
36,"""001255""",博菲电气,55.5,9.25,4.7,73936,393450213.56,13.78,55.88,48.88,50.8,50.8,0.88,36.97,59.56,6.17
